case,country,hdirank,hdicat,pop2004,urban2004,physicians,mort2004,tele2004,cell2003,internet03,gdp,inequality,educ04,milit2004,debt04,cde2003,lifef,lifem
1,Norway                          ,1,High Development,4.6,77.3,313,4,669,861,390,54465,6.1,7.7,2,NA,0.2,82,77.1
2,Iceland                         ,2,High Development,0.3,92.7,362,2,652,998,772,41893,NA,8,0,NA,NA,82.7,79
3,Australia                       ,3,High Development,19.9,88,247,5,541,818,646,31690,12.5,4.8,1.9,NA,1.4,83,77.9
4,Ireland                         ,4,High Development,4.1,60.2,279,5,496,929,265,44644,9.4,4.3,0.7,NA,0.2,80.5,75.4
5,Sweden                          ,5,High Development,9,84.1,328,3,708,1034,756,38525,6.2,7,1.6,NA,0.2,82.5,78.1
6,Canada                          ,6,High Development,32,80,214,5,NA,469,626,30586,9.4,5.2,1.1,NA,2.3,82.6,77.6
7,Japan                           ,7,High Development,127.9,65.7,198,3,460,716,587,36182,4.5,3.7,1,NA,4.9,85.6,78.6
8,United States                   ,8,High Development,295.4,80.5,256,7,606,617,630,39883,15.9,5.9,4,NA,23,80.2,74.8
9,Switzerland                     ,9,High Development,7.2,74.8,361,5,710,849,474,48385,9,5.4,1,NA,0.2,83.4,77.8
10,Netherlands                     ,10,High Development,16.2,79.6,315,5,483,910,614,35560,9.2,5.3,1.7,NA,0.6,81.2,75.8
11,Finland                         ,11,High Development,5.2,61.1,316,3,453,954,629,35562,5.6,6.5,1.2,NA,0.3,81.9,75.3
12,Luxembourg                      ,12,High Development,0.5,83,266,5,NA,NA,597,70295,NA,NA,0.9,NA,NA,81.6,75.3
13,Belgium                         ,13,High Development,10.4,97.2,449,4,456,876,403,33807,8.2,6.2,1.3,NA,0.3,82.1,75.9
14,Austria                         ,14,High Development,8.2,65.9,338,5,460,978,477,35766,6.9,5.5,0.8,NA,0.3,82,76.2
15,Denmark                         ,15,High Development,5.4,85.5,293,4,643,956,696,44673,8.1,8.4,1.5,NA,0.2,79.6,75
