id,educ,jobcat,salary,salbegin,jobtime,prevexp,minority,age,gender,dob
1,15,Manager,57000,27000,98,144,No,37,Male,2/3/52
2,16,Clerical,40200,18750,98,36,No,31,Male,5/23/58
3,12,Clerical,21450,12000,98,381,No,60,Female,7/26/29
4,8,Clerical,21900,13200,98,190,No,42,Female,4/15/47
5,15,Clerical,45000,21000,98,138,No,34,Male,2/9/55
6,15,Clerical,32100,13500,98,67,No,31,Male,8/22/58
7,15,Clerical,36000,18750,98,114,No,33,Male,4/26/56
8,12,Clerical,21900,9750,98,0,No,23,Female,5/6/66
9,15,Clerical,27900,12750,98,115,No,43,Female,1/23/46
10,12,Clerical,24000,13500,98,244,No,43,Female,2/13/46
11,16,Clerical,30300,16500,98,143,No,39,Female,2/7/50
12,8,Clerical,28350,12000,98,26,Yes,23,Male,1/11/66
13,15,Clerical,27750,14250,98,34,Yes,29,Male,7/17/60
14,15,Clerical,35100,16800,98,137,Yes,40,Female,2/26/49
15,12,Clerical,27300,13500,97,66,No,27,Male,8/29/62
16,12,Clerical,40800,15000,97,24,No,25,Male,11/17/64
17,15,Clerical,46000,14250,97,48,No,27,Male,7/18/62
18,16,Manager,103750,27510,97,70,No,33,Male,3/20/56
19,12,Clerical,42300,14250,97,103,No,27,Male,8/19/62
20,12,Clerical,26250,11550,97,48,No,49,Female,1/23/40
21,16,Clerical,38850,15000,97,17,No,26,Female,2/19/63
22,12,Clerical,21750,12750,97,315,Yes,49,Male,9/24/40
23,15,Clerical,24000,11100,97,75,Yes,24,Female,3/15/65
24,12,Clerical,16950,9000,97,124,Yes,56,Female,3/27/33
25,15,Clerical,21150,9000,97,171,Yes,47,Female,7/1/42
26,15,Clerical,31050,12600,96,14,No,23,Male,11/8/66
27,19,Manager,60375,27480,96,96,No,35,Male,3/19/54
28,15,Clerical,32550,14250,96,43,No,26,Male,4/11/63
29,19,Manager,135000,79980,96,199,No,45,Male,1/28/44
30,15,Clerical,31200,14250,96,54,No,28,Male,9/17/61
31,12,Clerical,36150,14250,96,83,No,25,Male,2/24/64
32,19,Manager,110625,45000,96,120,No,35,Male,1/28/54
33,15,Clerical,42000,15000,96,68,No,28,Male,3/18/61
34,19,Manager,92000,39990,96,175,No,40,Male,2/2/49
35,17,Manager,81250,30000,96,18,No,28,Male,8/22/61
36,8,Clerical,31350,11250,96,52,No,26,Female,8/7/63
37,12,Clerical,29100,13500,96,113,Yes,35,Male,10/9/54
38,15,Clerical,31350,15000,96,49,Yes,27,Male,4/27/62
39,16,Clerical,36000,15000,96,46,Yes,29,Male,6/22/60
40,15,Clerical,19200,9000,96,23,Yes,56,Female,8/28/33
41,12,Clerical,23550,11550,96,52,Yes,28,Female,3/18/61
42,15,Clerical,35100,16500,95,90,No,29,Male,9/23/60
43,12,Clerical,23250,14250,95,46,No,25,Male,1/18/64
44,8,Clerical,29250,14250,95,50,No,26,Male,6/15/63
45,12,Custodial,30750,13500,95,307,No,51,Male,8/2/38
46,15,Clerical,22350,12750,95,165,No,49,Female,11/18/40
47,12,Clerical,30000,16500,95,228,No,51,Female,4/28/38
48,12,Custodial,30750,14100,94,240,No,42,Male,6/7/47
49,15,Clerical,34800,16500,94,93,No,31,Male,9/16/58
50,16,Manager,60000,23730,94,59,No,29,Male,2/9/60
51,12,Clerical,35550,15000,94,48,No,27,Male,7/8/62
52,15,Clerical,45150,15000,94,40,No,26,Male,11/12/63
53,18,Manager,73750,26250,94,56,No,35,Male,4/21/54
54,12,Clerical,25050,13500,94,444,No,58,Male,6/4/31
55,12,Clerical,27000,15000,94,120,No,29,Male,6/25/60
56,15,Clerical,26850,13500,94,5,No,27,Male,4/16/62
57,15,Clerical,33900,15750,94,78,No,26,Male,4/15/63
58,15,Clerical,26400,13500,94,3,No,25,Female,11/14/64
59,15,Clerical,28050,14250,94,36,Yes,28,Male,5/7/61
60,12,Clerical,30900,15000,94,102,Yes,30,Male,2/16/59
61,8,Clerical,22500,9750,94,36,Yes,25,Male,4/28/64
62,16,Manager,48000,21750,93,22,No,27,Male,7/18/62
63,17,Manager,55000,26250,93,32,No,28,Male,8/20/61
64,16,Manager,53125,21000,93,48,No,26,Male,9/28/63
65,8,Clerical,21900,14550,93,41,No,25,Male,3/28/64
66,19,Manager,78125,30000,93,7,No,27,Male,2/16/62
67,16,Manager,46000,21240,93,35,No,25,Male,5/28/64
68,16,Manager,45250,21480,93,36,No,26,Male,5/5/63
69,16,Manager,56550,25000,93,34,No,29,Male,6/23/60
70,15,Clerical,41100,20250,93,27,No,27,Male,2/8/62
71,17,Manager,82500,34980,93,207,No,41,Male,8/26/48
72,16,Clerical,54000,18000,93,11,No,25,Female,1/7/64
73,12,Clerical,26400,10500,93,0,No,21,Female,2/9/68
74,15,Clerical,33900,19500,93,192,No,56,Female,4/28/33
75,15,Clerical,24150,11550,93,0,No,24,Female,8/12/65
76,15,Clerical,29250,11550,93,11,No,22,Female,9/3/67
77,12,Clerical,27600,11400,93,6,No,21,Female,9/9/68
78,12,Clerical,22950,10500,93,10,No,21,Female,8/20/68
79,16,Clerical,34800,14550,93,8,No,27,Female,1/23/62
80,16,Clerical,51000,18000,93,22,No,28,Female,5/25/61
81,12,Clerical,24300,10950,93,5,No,21,Female,3/12/68
82,12,Clerical,24750,14250,93,193,Yes,42,Female,8/28/47
83,12,Clerical,22950,11250,93,0,Yes,22,Female,10/12/67
84,8,Clerical,25050,10950,93,8,Yes,22,Female,3/12/67
85,15,Clerical,25950,17100,92,42,No,27,Male,4/9/62
86,15,Clerical,31650,15750,92,64,No,28,Male,8/25/61
87,12,Clerical,24150,14100,92,130,No,30,Male,10/20/59
88,19,Manager,72500,28740,92,10,No,27,Male,2/10/62
89,19,Manager,68750,27480,92,8,No,28,Male,6/24/61
90,8,Clerical,16200,9750,92,0,No,51,Female,2/27/38
91,12,Clerical,20100,11250,92,24,No,22,Female,11/4/67
92,8,Clerical,24000,10950,92,6,No,21,Female,6/25/68
93,12,Clerical,25950,10950,92,0,No,21,Female,3/5/68
94,12,Clerical,24600,10050,92,44,No,39,Female,8/4/50
95,12,Clerical,28500,10500,92,6,No,21,Female,8/8/68
96,8,Custodial,30750,15000,92,432,Yes,56,Male,10/2/33
