	Stk_601899	Stk_601857	Stk_601766	Stk_601699	Stk_601628	Stk_601601	Stk_601398	Stk_601328	Stk_601169	Stk_601166	Stk_601088	Stk_601006	Stk_600887	Stk_600837	Stk_600585	Stk_600549	Stk_600519	Stk_600518	Stk_600489	Stk_600383	Stk_600362	Stk_600256	Stk_600111	Stk_600050	Stk_600048	Stk_600036	Stk_600031	Stk_600030	Stk_600028	Stk_600018	Stk_600016	Stk_600015	Stk_600000
2009/1/5	5.044698	10.596917	4.51	24.174965	19.815773	12.049045	3.701972	5.255196	9.253804	15.350719	18.311873	8.577598	83.907298	166.520305	33.932754	57.768031	506.073424	84.885697	51.651295	35.775833	14.823932	58.592451	31.621075	7.285387	62.621615	30.801875	130.448023	54.183892	10.701341	3.51633	44.979622	13.04368	39.826485
2009/1/6	5.226671	10.811306	4.54	26.445946	20.284906	12.404623	3.804805	5.317387	9.506088	16.043386	19.747507	8.921118	86.973338	170.8676	35.443785	59.26572	507.614338	85.159228	50.7983375	37.743245	15.719064	62.603058	33.720748	7.542016	64.614121	32.049608	143.492826	55.649098	11.028782	3.598343	46.280237	13.638164	42.032617
2009/1/7	5.105356	10.709216	4.39	26.702348	20.315502	12.709405	3.722539	5.296657	9.415266	15.982269	19.285695	8.921118	87.075539	170.8676	35.788824	59.479676	498.649022	84.885697	49.94538	38.002115	16.16663	61.53774	34.854571	7.399444	64.126161	31.486905	146.536613	55.074507	10.790643	3.629098	45.521545	13.340922	41.481084
2009/1/8	4.893054	10.382529	4.25	27.453237	19.509817	12.201436	3.640273	5.130812	9.102433	15.289602	19.426246	8.817021	85.440318	175.025883	35.348602	57.910668	506.77384	85.706289	47.684367	38.934047	15.461374	62.039066	34.518623	6.957474	65.874686	29.945588	142.710137	54.528646	10.626923	3.475323	44.546083	12.851347	39.623288
2009/1/9	4.963821	10.423364	4.32	29.302988	19.734185	12.841478	3.681406	5.234465	9.193255	15.666494	19.53668	8.879479	85.338116	175.592921	35.907802	59.26572	500.98374	86.526881	48.740409	38.416307	16.180192	64.545695	35.904407	7.014502	66.28132	30.459361	148.884677	54.758483	10.626923	3.506078	44.979622	13.096134	40.900523
2009/1/12	5.044698	10.290648	4.29	28.51547	19.244655	12.699246	3.660839	5.24483	9.415266	15.931337	19.245537	8.806611	88.71076	171.434639	34.408669	63.687471	494.539919	88.715127	49.715217	37.173731	17.251639	64.483029	39.515845	6.871931	65.061419	30.165776	153.754737	54.126433	10.552505	3.588091	44.979622	13.270983	41.510112
2009/1/13	4.771738	10.229394	4.25	27.288407	19.040684	12.689087	3.578573	5.234465	9.203347	15.819288	18.442385	8.754563	86.053526	168.788459	33.195086	61.547914	475.628705	85.341582	47.657289	35.568737	16.058129	60.785752	39.725812	6.643817	61.36105	29.40735	144.884271	52.977252	10.507854	3.51633	43.787391	12.763923	40.610242
2009/1/14	4.923383	10.453991	4.4	30.017248	19.999347	13.959011	3.671122	5.42104	9.506088	17.031455	19.225458	9.025215	88.915163	185.610601	34.480057	67.68131	476.282426	90.265134	48.429012	36.966635	16.966824	61.913735	43.715191	6.743617	63.800854	31.242252	151.493638	57.861272	10.77576	3.608595	45.629929	13.55074	43.890412
2009/1/15	4.862725	10.341693	4.43	30.182077	19.509817	13.9894895	3.588856	5.452136	9.839104	17.398161	18.723488	8.921118	90.039378	192.415063	34.158814	73.386795	466.803472	90.99455	47.23758	38.002115	16.763385	61.913735	47.158654	6.843417	65.264736	30.679549	158.537831	56.798279	10.671574	3.588091	45.521545	13.568225	43.861384
2009/1/16	4.98404	10.535663	4.46	30.804766	20.254311	14.019968	3.660839	5.327752	10.071206	18.263995	19.265616	9.108493	90.95919	206.213	33.992244	73.672069	473.994402	90.538665	48.632097	38.571629	16.885448	60.973749	48.460452	6.971731	68.029846	32.245331	160.624999	59.096641	11.058549	3.526581	47.03893	14.040315	45.341814
