time,close
1/4/2010,20.27
1/5/2010,20.57
1/6/2010,20.95
1/7/2010,20.55
1/8/2010,20.75
1/11/2010,20.86
1/12/2010,20.74
1/13/2010,20.72
1/14/2010,21.43
1/15/2010,20.89
1/18/2010,20.52
1/19/2010,20.54
1/20/2010,18.61
1/21/2010,18.62
1/22/2010,18.01
1/25/2010,17.82
1/26/2010,17.34
1/27/2010,17.29
1/28/2010,17.8
1/29/2010,17.79
2/1/2010,16.6
2/2/2010,17.87
2/3/2010,17.99
2/4/2010,17.91
2/5/2010,17.17
2/8/2010,17.19
2/9/2010,16.78
2/10/2010,17.13
2/11/2010,17.15
2/12/2010,17.86
2/22/2010,17.75
2/23/2010,18.59
2/24/2010,18.89
2/25/2010,18.96
2/26/2010,18.98
3/1/2010,18.58
3/2/2010,19.84
3/3/2010,19.78
3/4/2010,18.75
3/5/2010,18.33
3/8/2010,18.55
3/9/2010,18.35
3/10/2010,18.55
3/11/2010,18.39
3/12/2010,17.58
3/15/2010,17.15
3/16/2010,16.66
3/17/2010,18
3/18/2010,17.84
3/19/2010,17.97
3/22/2010,18.93
3/23/2010,18.68
3/24/2010,18.59
3/25/2010,18.06
3/26/2010,18.38
3/29/2010,18.47
3/30/2010,18.76
3/31/2010,19
4/1/2010,19.2
4/2/2010,19.21
4/6/2010,18.74
4/7/2010,19.78
4/8/2010,20.1
4/9/2010,20.22
4/12/2010,21.38
4/13/2010,20.57
4/14/2010,20.37
4/15/2010,19.71
4/16/2010,19.82
4/19/2010,18.85
4/20/2010,19.32
4/21/2010,20.14
4/22/2010,20.71
4/23/2010,20.39
4/26/2010,19.86
4/27/2010,19.86
4/28/2010,18.17
4/29/2010,17.55
4/30/2010,17.55
5/4/2010,17.3
5/5/2010,18.07
5/6/2010,17.61
5/7/2010,17.61
5/10/2010,17.32
5/11/2010,16.78
5/12/2010,15.19
5/13/2010,15.25
5/14/2010,15.29
5/17/2010,13.81
5/18/2010,13.82
5/19/2010,15.2
5/20/2010,15.06
5/21/2010,15.55
5/24/2010,16.06
5/25/2010,15.79
5/26/2010,15.78
5/27/2010,16.09
5/28/2010,16.09
5/31/2010,14.91
6/1/2010,14.61
6/2/2010,15.33
6/3/2010,14.78
6/4/2010,15.14
6/7/2010,15.51
6/8/2010,15.88
6/9/2010,16.15
6/10/2010,17.42
6/11/2010,18.64
6/17/2010,18.19
6/18/2010,17.97
6/21/2010,18.76
6/22/2010,18.19
6/23/2010,18.17
6/24/2010,18.18
6/25/2010,17.9
6/28/2010,16.64
6/29/2010,15.1
6/30/2010,15.19
7/1/2010,15.18
7/2/2010,15.13
7/5/2010,14.71
7/6/2010,15.54
7/7/2010,15.7
7/8/2010,15.26
7/9/2010,15.73
7/12/2010,16.37
7/13/2010,17.14
7/14/2010,17.03
7/15/2010,16.61
7/16/2010,16.5
7/19/2010,16.78
7/20/2010,17.19
7/21/2010,17.04
7/22/2010,17.22
7/23/2010,16.85
7/26/2010,17.11
7/27/2010,16.76
7/28/2010,16.97
7/29/2010,18.08
7/30/2010,17.59
8/2/2010,17.68
8/3/2010,17.09
8/4/2010,17.24
8/5/2010,16.89
8/6/2010,17.29
8/9/2010,17.47
8/10/2010,17.69
8/11/2010,18.34
8/12/2010,18.36
8/13/2010,18.6
8/16/2010,18.6
8/17/2010,18.34
8/18/2010,18.46
8/19/2010,18.43
8/20/2010,17.6
8/23/2010,17.79
8/24/2010,17.79
8/25/2010,17.99
8/26/2010,18.44
8/27/2010,18.08
8/30/2010,18.36
8/31/2010,19.23
9/1/2010,18.5
9/2/2010,18.57
9/3/2010,18.7
9/6/2010,18.84
9/7/2010,19.03
9/8/2010,19.22
9/9/2010,18.59
9/10/2010,18.11
9/13/2010,18.3
9/14/2010,18.21
9/15/2010,17.54
9/16/2010,16.99
9/17/2010,17
9/20/2010,17
9/21/2010,16.7
9/27/2010,17.14
9/28/2010,17.7
9/29/2010,17.33
9/30/2010,17.62
10/8/2010,17.94
10/11/2010,18.2
10/12/2010,18.24
10/13/2010,18.69
10/14/2010,17.89
10/15/2010,18.01
10/18/2010,18.8
10/19/2010,19.79
10/20/2010,19.42
10/21/2010,19.7
10/22/2010,19.55
10/25/2010,19.98
10/26/2010,20.87
10/27/2010,20.11
10/28/2010,19.57
10/29/2010,19.81
11/1/2010,20.95
11/2/2010,20.91
11/3/2010,23
11/4/2010,23.78
11/5/2010,23.46
11/8/2010,24.91
11/9/2010,24.82
11/10/2010,23.77
11/11/2010,23.02
11/12/2010,21.93
11/15/2010,22.74
11/16/2010,22.83
11/17/2010,20.85
11/18/2010,21.04
11/19/2010,22.82
11/22/2010,23.87
11/23/2010,23.66
11/24/2010,23.85
11/25/2010,24
11/26/2010,23
11/29/2010,22.43
11/30/2010,21.25
12/1/2010,21.64
12/2/2010,21.96
12/3/2010,21.71
12/6/2010,21.32
12/7/2010,21.57
12/8/2010,21.61
12/9/2010,20.68
12/10/2010,21.01
12/13/2010,21.9
12/14/2010,22.27
12/15/2010,21.75
12/16/2010,21.83
12/17/2010,21.56
12/20/2010,21.04
12/21/2010,21
12/22/2010,20.59
12/23/2010,19.93
12/24/2010,19.81
12/27/2010,19.5
12/28/2010,18.79
12/29/2010,19.61
12/30/2010,19.61
12/31/2010,19.63
1/4/2011,19.64
1/5/2011,20.23
1/6/2011,20.29
1/7/2011,19.83
1/10/2011,17.85
1/11/2011,17.28
1/12/2011,17.22
1/13/2011,17.41
1/14/2011,17.08
1/17/2011,16.14
1/18/2011,16.44
1/19/2011,16.7
1/20/2011,15.43
1/21/2011,15.44
1/24/2011,14.89
1/25/2011,15.01
1/26/2011,15.61
1/27/2011,15.67
1/28/2011,15.86
1/31/2011,16
2/1/2011,15.92
2/9/2011,16.29
2/10/2011,16.45
2/11/2011,16.59
2/14/2011,17
2/15/2011,17.07
2/16/2011,17.44
2/17/2011,17.44
2/18/2011,17.15
2/21/2011,18.47
2/22/2011,17.85
2/23/2011,17.94
2/24/2011,18.16
2/25/2011,18.81
2/28/2011,18.76
3/1/2011,18.89
3/2/2011,18.55
3/3/2011,17.61
3/4/2011,17.77
3/7/2011,17.91
3/8/2011,18.17
3/9/2011,18.16
3/10/2011,18.04
3/11/2011,17.73
3/14/2011,17.94
3/15/2011,17.31
3/16/2011,17.5
3/17/2011,16.98
3/18/2011,17.52
3/21/2011,17.48
3/22/2011,17.25
3/23/2011,17.8
3/24/2011,17.62
3/25/2011,17.69
3/28/2011,17.57
3/29/2011,17.02
3/30/2011,16.52
3/31/2011,16.73
4/1/2011,16.6
4/6/2011,16.26
4/7/2011,16.26
4/8/2011,16.62
4/11/2011,16.2
4/12/2011,16.25
4/13/2011,16.41
4/14/2011,16.59
4/15/2011,16.51
4/18/2011,16.22
4/19/2011,15.64
4/20/2011,15.79
4/21/2011,15.93
