600198 大唐電信 -- 20080101-99999999,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
年月日,未調整收盤價(元),日回報率 %,週回報率 %,月回報率 %,季回報率 %,年回報率 %,本週以來回報率 %,本月以來回報率 %,本季以來回報率 %,本年以來回報率 %,與大盤比%-日回報率,與大盤比%-週回報率,與大盤比%-月回報率,與大盤比%-季回報率,與大盤比%-年回報率,與滬深300比-日回報率,與滬深300比-週回報率,與滬深300比-月回報率,與滬深300比-季回報率,與滬深300比-年回報率
2008/01/02,18.96,0,5.0998,9.659,-1.0439,47.7777,0,0,0,0,-0.2133,4.3132,1.3185,4.2013,-25.0161,-0.8696,2.7562,-3.5303,2.5522,-43.9901
2008/01/03,19.38,2.2152,2.3231,17.9552,1.1482,51.0513,2.2152,2.2152,2.2152,2.2152,1.3112,2.112,7.9496,5.5676,-24.0329,1.519,1.2945,3.8284,4.11,-43.1393
2008/01/04,19.41,0.1548,2.3734,19.889,1.3048,52.3539,2.3734,2.3734,2.3734,2.3734,-0.6244,0.4638,9.9228,4.9084,-22.8303,-0.9706,-0.3405,5.5811,3.0996,-42.5697
2008/01/07,19.77,1.8547,4.2721,19.7457,3.1837,47.5364,1.8547,4.2721,4.2721,4.2721,1.2548,1.7243,13.0497,6.2248,-27.7455,0.5176,0.1752,8.6421,3.6332,-44.962
2008/01/08,19.74,-0.1517,4.114,19.5641,2.9197,42.0137,1.7002,4.114,4.114,4.114,-0.0254,1.6986,13.0209,8.7707,-28.6257,0.3638,0.5397,9.0374,5.2481,-45.2414
2008/01/09,19.98,1.2158,5.3798,21.0177,5.1579,43.4308,2.9367,5.3798,5.3798,5.3798,0.2983,2.22,13.358,10.5762,-25.9124,-0.3294,1.0876,8.6782,6.3222,-43.7884
2008/01/10,19.77,-1.0511,2.0124,14.0139,5.2715,37.6733,1.8547,4.2721,4.2721,4.2721,-1.4271,-0.5429,7.8578,11.3472,-28.7081,-2.0698,-2.4859,3.1879,5.5238,-45.244
2008/01/11,19.19,-2.9337,-1.1334,5.3818,5.0356,30.8998,-1.1334,1.2131,1.2131,1.2131,-3.4316,-3.3523,-0.5668,13.2428,-33.8871,-3.3935,-4.8717,-4.9572,6.1583,-48.7435
2008/01/14,19.12,-0.3648,-3.2878,0,8.1448,42.2612,-0.3648,0.8439,0.8439,0.8439,-0.6044,-5.127,-8.9122,16.1184,-30.961,-0.9317,-6.2433,-13.1566,8.2477,-46.0483
2008/01/15,19.6,2.5105,-0.7092,2.5105,5.6034,32.6111,2.1365,3.3756,3.3756,3.3756,3.5294,-1.7535,-5.6973,16.9768,-31.9207,3.1459,-3.6443,-10.4246,7.9205,-46.7519
2008/01/16,19.09,-2.602,-4.4544,-0.1568,5.0055,23.4795,-0.5211,0.6857,0.6857,0.6857,0.218,-1.8321,-5.4917,20.9122,-34.1591,0.7722,-2.5794,-9.7329,12.0904,-47.2087
2008/01/17,18.42,-3.5097,-6.8285,-3.661,-2.5912,8.2888,-4.0125,-2.848,-2.848,-2.848,-0.9066,-1.3138,-8.8011,14.136,-41.5866,-0.9904,-1.5058,-12.7881,5.7324,-53.4015
2008/01/18,18.88,2.4973,-1.6154,3.9648,0.1592,8.2565,-1.6154,-0.4219,-0.4219,-0.4219,1.9257,4.1609,-2.9457,12.6249,-42.3877,1.5727,3.5575,-7.2595,3.8826,-53.6724
2008/01/21,18.66,-1.1653,-2.4058,7.9237,-3.6655,1.4678,-1.1653,-1.5822,-1.5822,-1.5822,4.1859,9.181,12.0378,14.0473,-41.5237,3.9964,8.7088,7.0034,5.1022,-52.7521
2008/01/22,17.73,-4.9839,-9.5408,2.5449,-4.882,-4.6264,-6.0911,-6.4873,-6.4873,-6.4873,2.407,7.9973,14.7347,18.2224,-38.6481,2.8484,8.3953,10.0513,9.5004,-50.0186
2008/01/23,17.42,-1.7484,-8.748,0.752,-6.6951,1.8712,-7.733,-8.1223,-8.1223,-8.1223,-4.742,2.6523,9.294,14.5395,-36.1195,-6.1177,0.9843,3.3187,3.9008,-48.6433
2008/01/24,17.83,2.3536,-3.203,2.0024,-2.3013,3.6626,-5.5614,-5.9598,-5.9598,-5.9598,2.0349,5.6995,13.1703,21.0036,-34.6275,1.2928,3.3129,5.653,8.5972,-47.6983
2008/01/25,17.87,0.2243,-5.3496,2.5244,3.0566,12.6022,-5.3496,-5.7489,-5.7489,-5.7489,-0.7009,2.9757,11.9872,20.3859,-32.4303,-0.7669,0.9333,5.3388,8.26,-45.6038
2008/01/28,16.98,-4.9804,-9.0032,-10.443,3.0966,4.8146,-4.9804,-10.443,-10.443,-10.443,2.3814,1.1921,6.6256,30.3989,-31.6329,1.9584,-1.0447,1.0338,17.54,-44.3372
2008/01/29,16.17,-4.7703,-8.7986,-14.7151,3.3227,-5.3834,-9.5131,-14.7151,-14.7151,-14.7151,-5.596,-6.7158,0.6589,33.2223,-37.489,-5.3742,-8.956,-4.3959,19.5145,-48.8001
