time,rmb_hk,rmb_us,rmb_tw
1/1/2010,1.1338,0.14619,4.67656
1/2/2010,1.1338,0.14619,4.67656
1/3/2010,1.1338,0.14619,4.67656
1/4/2010,1.1343,0.14618,4.62453
1/5/2010,1.134,0.14618,4.66094
1/6/2010,1.1339,0.14617,4.65927
1/7/2010,1.1338,0.14617,4.65635
1/8/2010,1.1339,0.14618,4.65868
1/9/2010,1.1339,0.14618,4.65868
1/10/2010,1.1339,0.14618,4.65868
1/11/2010,1.1339,0.14619,4.64307
1/12/2010,1.1339,0.14618,4.64931
1/13/2010,1.1339,0.14619,4.64659
1/14/2010,1.1342,0.14618,4.64105
1/15/2010,1.1346,0.14619,4.64857
1/16/2010,1.1347,0.14619,4.64857
1/17/2010,1.1348,0.14621,4.64918
1/18/2010,1.1349,0.14618,4.64529
1/19/2010,1.1349,0.14618,4.65523
1/20/2010,1.1355,0.14618,4.67336
1/21/2010,1.1361,0.14619,4.66486
1/22/2010,1.1362,0.14619,4.67649
1/23/2010,1.1361,0.14619,4.67649
1/24/2010,1.1361,0.14619,4.67649
1/25/2010,1.1358,0.14619,4.67364
1/26/2010,1.1368,0.14619,4.68533
1/27/2010,1.137,0.14619,4.68892
1/28/2010,1.1358,0.14619,4.67576
1/29/2010,1.1361,0.14619,4.6729
1/30/2010,1.1356,0.14619,4.6729
1/31/2010,1.1356,0.14619,4.6729
2/1/2010,1.1358,0.14618,4.68133
2/2/2010,1.1357,0.14618,4.68592
2/3/2010,1.1355,0.14619,4.67743
2/4/2010,1.1361,0.14619,4.68205
2/5/2010,1.1364,0.14618,4.70267
2/6/2010,1.1362,0.14618,4.70267
2/7/2010,1.1362,0.14618,4.70267
2/8/2010,1.1362,0.1462,4.69431
2/9/2010,1.1361,0.14619,4.69052
2/10/2010,1.1358,0.14613,4.6856
2/11/2010,1.1351,0.14605,4.67709
2/12/2010,1.1355,0.1461,4.6788
2/13/2010,1.1353,0.1461,4.6788
2/14/2010,1.1353,0.1461,4.6788
2/15/2010,1.1355,0.1461,4.6788
2/16/2010,1.1355,0.1461,4.6788
2/17/2010,1.1353,0.1461,4.68099
2/18/2010,1.1351,0.1461,4.67953
2/19/2010,1.1349,0.1461,4.68684
2/20/2010,1.1348,0.1461,4.68684
2/21/2010,1.1348,0.1461,4.68684
2/22/2010,1.1353,0.1462,4.68707
2/23/2010,1.1349,0.1462,4.69138
2/24/2010,1.1353,0.14618,4.68739
2/25/2010,1.1352,0.14618,4.69177
2/26/2010,1.1352,0.14621,4.68983
2/27/2010,1.1349,0.1462,4.68948
2/28/2010,1.1349,0.1462,4.68948
3/1/2010,1.1352,0.1462,4.68202
3/2/2010,1.1353,0.14619,4.68327
3/3/2010,1.1353,0.14621,4.67592
3/4/2010,1.1352,0.1462,4.67823
3/5/2010,1.1352,0.1462,4.66214
3/6/2010,1.1351,0.1462,4.66214
3/7/2010,1.1351,0.1462,4.66214
3/8/2010,1.1348,0.1462,4.65856
3/9/2010,1.1347,0.1462,4.6557
3/10/2010,1.1347,0.14621,4.64129
3/11/2010,1.1347,0.1462,4.64753
3/12/2010,1.1347,0.14622,4.63884
3/13/2010,1.1344,0.14622,4.63884
3/14/2010,1.1344,0.14622,4.63884
3/15/2010,1.1346,0.1462,4.65431
3/16/2010,1.1348,0.14621,4.65202
3/17/2010,1.1351,0.14621,4.6369
3/18/2010,1.1349,0.14621,4.64355
3/19/2010,1.1347,0.1462,4.64022
3/20/2010,1.1346,0.1462,4.64022
3/21/2010,1.1346,0.1462,4.64022
3/22/2010,1.1349,0.1462,4.64832
3/23/2010,1.1351,0.1462,4.65337
3/24/2010,1.1349,0.1462,4.65264
3/25/2010,1.1349,0.14619,4.6547
3/26/2010,1.1351,0.14619,4.65989
3/27/2010,1.1349,0.14619,4.65989
3/28/2010,1.1349,0.14619,4.65989
3/29/2010,1.1353,0.1462,4.65344
3/30/2010,1.1355,0.14621,4.65006
3/31/2010,1.1353,0.14621,4.64113
4/1/2010,1.1356,0.14621,4.64099
4/2/2010,1.1358,0.14621,4.64126
4/3/2010,1.136,0.14621,4.64126
4/4/2010,1.136,0.14621,4.64126
4/5/2010,1.136,0.14621,4.63498
4/6/2010,1.1357,0.14622,4.63139
4/7/2010,1.1355,0.14622,4.61384
4/8/2010,1.1352,0.14625,4.60615
4/9/2010,1.1348,0.14626,4.60276
4/10/2010,1.1346,0.14626,4.60276
4/11/2010,1.1346,0.14626,4.60276
4/12/2010,1.1346,0.14621,4.60786
4/13/2010,1.1349,0.14622,4.61757
4/14/2010,1.1348,0.14621,4.58945
4/15/2010,1.1349,0.14621,4.59025
4/16/2010,1.1352,0.14622,4.58314
4/17/2010,1.1351,0.14622,4.58314
4/18/2010,1.1351,0.14622,4.58314
4/19/2010,1.1349,0.14619,4.60025
