stkcd,trdate,clprice
600000 浦發銀行,2016/05/11,17.45
600010 包鋼股份,2016/05/11,2.82
600015 華夏銀行,2016/05/11,10.06
600016 民生銀行,2016/05/11,9.28
600018 上港集團,2016/05/11,4.99
600028 中國石化,2016/05/11,4.64
600030 中信證券,2016/05/11,15.57
600036 招商銀行,2016/05/11,17.15
600048 保利地產,2016/05/11,8.86
600050 中國聯通,2016/05/11,3.94
600104 上汽集團,2016/05/11,20.06
600109 國金證券,2016/05/11,12.17
600111 北方稀土,2016/05/11,12.13
600150 中國船舶,2016/05/11,21.84
600518 康美藥業,2016/05/11,14.72
600519 貴州茅台,2016/05/11,256.87
600585 海螺水泥,2016/05/11,14.63
600637 東方明珠,2016/05/11,25.02
600795 國電電力,2016/05/11,2.9
600837 海通證券,2016/05/11,14.45
600887 伊利股份,2016/05/11,15.43
600893 中航動力,2016/05/11,34.02
600958 東方證券,2016/05/11,16.88
600999 招商證券,2016/05/11,15.48
601006 大秦鐵路,2016/05/11,6.43
601088 中國神華,2016/05/11,13.7
601166 興業銀行,2016/05/11,15.73
601169 北京銀行,2016/05/11,10.27
601186 中國鐵建,2016/05/11,10.07
601211 國泰君安,2016/05/11,17.29
601288 農業銀行,2016/05/11,3.07
601318 中國平安,2016/05/11,31.25
601328 交通銀行,2016/05/11,5.27
601336 新華保險,2016/05/11,38.57
601390 中國中鐵,2016/05/11,7.24
601398 工商銀行,2016/05/11,4.19
601601 中國太保,2016/05/11,25.83
601628 中國人壽,2016/05/11,20.56
601668 中國建築,2016/05/11,5.36
601669 中國電建,2016/05/11,6.28
601688 華泰證券,2016/05/11,15.94
601766 中國中車,2016/05/11,9.19
601800 中國交建,2016/05/11,11.32
601818 光大銀行,2016/05/11,3.57
601857 中國石油,2016/05/11,7.22
601901 方正證券,2016/05/11,6.86
601985 中國核電,2016/05/11,6.77
601988 中國銀行,2016/05/11,3.27
601989 中國重工,2016/05/11,6.03
601998 中信銀行,2016/05/11,5.63
600000 浦發銀行,2016/05/10,17.48
600010 包鋼股份,2016/05/10,2.84
600015 華夏銀行,2016/05/10,10.03
600016 民生銀行,2016/05/10,9.26
600018 上港集團,2016/05/10,4.95
600028 中國石化,2016/05/10,4.65
600030 中信證券,2016/05/10,15.6
600036 招商銀行,2016/05/10,17.04
600048 保利地產,2016/05/10,8.84
600050 中國聯通,2016/05/10,3.93
600104 上汽集團,2016/05/10,19.97
600109 國金證券,2016/05/10,12.31
600111 北方稀土,2016/05/10,12.07
600150 中國船舶,2016/05/10,22.02
600518 康美藥業,2016/05/10,14.48
600519 貴州茅台,2016/05/10,252.08
600585 海螺水泥,2016/05/10,14.44
