stkcd	trdate	clprice
600000 浦發銀行	5/11/2016	17.45
600010 包鋼股份	5/11/2016	2.82
600015 華夏銀行	5/11/2016	10.06
600016 民生銀行	5/11/2016	9.28
600018 上港集團	5/11/2016	4.99
600028 中國石化	5/11/2016	4.64
600030 中信證券	5/11/2016	15.57
600036 招商銀行	5/11/2016	17.15
600048 保利地產	5/11/2016	8.86
600050 中國聯通	5/11/2016	3.94
600104 上汽集團	5/11/2016	20.06
600109 國金證券	5/11/2016	12.17
600111 北方稀土	5/11/2016	12.13
600150 中國船舶	5/11/2016	21.84
600518 康美藥業	5/11/2016	14.72
600519 貴州茅台	5/11/2016	256.87
600585 海螺水泥	5/11/2016	14.63
600637 東方明珠	5/11/2016	25.02
600795 國電電力	5/11/2016	2.9
600837 海通證券	5/11/2016	14.45
600887 伊利股份	5/11/2016	15.43
600893 中航動力	5/11/2016	34.02
600958 東方證券	5/11/2016	16.88
600999 招商證券	5/11/2016	15.48
601006 大秦鐵路	5/11/2016	6.43
601088 中國神華	5/11/2016	13.7
601166 興業銀行	5/11/2016	15.73
601169 北京銀行	5/11/2016	10.27
601186 中國鐵建	5/11/2016	10.07
601211 國泰君安	5/11/2016	17.29
601288 農業銀行	5/11/2016	3.07
601318 中國平安	5/11/2016	31.25
601328 交通銀行	5/11/2016	5.27
601336 新華保險	5/11/2016	38.57
601390 中國中鐵	5/11/2016	7.24
601398 工商銀行	5/11/2016	4.19
601601 中國太保	5/11/2016	25.83
601628 中國人壽	5/11/2016	20.56
601668 中國建築	5/11/2016	5.36
601669 中國電建	5/11/2016	6.28
601688 華泰證券	5/11/2016	15.94
601766 中國中車	5/11/2016	9.19
601800 中國交建	5/11/2016	11.32
601818 光大銀行	5/11/2016	3.57
601857 中國石油	5/11/2016	7.22
601901 方正證券	5/11/2016	6.86
601985 中國核電	5/11/2016	6.77
601988 中國銀行	5/11/2016	3.27
601989 中國重工	5/11/2016	6.03
601998 中信銀行	5/11/2016	5.63
600000 浦發銀行	5/10/2016	17.48
600010 包鋼股份	5/10/2016	2.84
600015 華夏銀行	5/10/2016	10.03
600016 民生銀行	5/10/2016	9.26
600018 上港集團	5/10/2016	4.95
600028 中國石化	5/10/2016	4.65
600030 中信證券	5/10/2016	15.6
600036 招商銀行	5/10/2016	17.04
600048 保利地產	5/10/2016	8.84
600050 中國聯通	5/10/2016	3.93
600104 上汽集團	5/10/2016	19.97
600109 國金證券	5/10/2016	12.31
600111 北方稀土	5/10/2016	12.07
600150 中國船舶	5/10/2016	22.02
600518 康美藥業	5/10/2016	14.48
600519 貴州茅台	5/10/2016	252.08
600585 海螺水泥	5/10/2016	14.44
600637 東方明珠	5/10/2016	25.06
600795 國電電力	5/10/2016	2.91
600837 海通證券	5/10/2016	14.49
600887 伊利股份	5/10/2016	15.27
600893 中航動力	5/10/2016	34.28
600958 東方證券	5/10/2016	17.01
600999 招商證券	5/10/2016	15.52
601006 大秦鐵路	5/10/2016	6.39
601088 中國神華	5/10/2016	13.57
601166 興業銀行	5/10/2016	15.67
601169 北京銀行	5/10/2016	10.25
601186 中國鐵建	5/10/2016	9.96
601211 國泰君安	5/10/2016	17.27
601288 農業銀行	5/10/2016	3.07
601318 中國平安	5/10/2016	31.19
601328 交通銀行	5/10/2016	5.25
601336 新華保險	5/10/2016	38.3
601390 中國中鐵	5/10/2016	7.21
601398 工商銀行	5/10/2016	4.16
601601 中國太保	5/10/2016	25.79
601628 中國人壽	5/10/2016	20.26
601668 中國建築	5/10/2016	5.33
601669 中國電建	5/10/2016	6.29
601688 華泰證券	5/10/2016	16.01
601766 中國中車	5/10/2016	9.19
601800 中國交建	5/10/2016	10.91
601818 光大銀行	5/10/2016	3.55
601857 中國石油	5/10/2016	7.19
601901 方正證券	5/10/2016	6.92
601985 中國核電	5/10/2016	6.81
601988 中國銀行	5/10/2016	3.27
601989 中國重工	5/10/2016	6.07
601998 中信銀行	5/10/2016	5.58
600000 浦發銀行	5/9/2016	17.51
600010 包鋼股份	5/9/2016	2.82
600015 華夏銀行	5/9/2016	10.01
600016 民生銀行	5/9/2016	9.22
600018 上港集團	5/9/2016	4.81
600028 中國石化	5/9/2016	4.64
600030 中信證券	5/9/2016	15.65
600036 招商銀行	5/9/2016	17.3
600048 保利地產	5/9/2016	8.85
600050 中國聯通	5/9/2016	3.92
600104 上汽集團	5/9/2016	19.71
600109 國金證券	5/9/2016	12.34
