"","Date","Open","High","Low","Close","Volume"
"1",2010-01-04,7.31,7.32,7.13,7.14,159457000
"2",2010-01-05,7.16,7.4,7.06,7.39,269085200
"3",2010-01-06,7.35,7.42,7.21,7.23,149647400
"4",2010-01-07,7.22,7.27,7,7.02,169879700
"5",2010-01-08,7,7.14,6.98,7.11,113754100
"6",2010-01-11,7.49,7.49,7.12,7.14,277981000
"7",2010-01-12,7.12,7.6,7.09,7.54,410842400
"8",2010-01-13,7.37,7.85,7.35,7.62,441749800
"9",2010-01-14,7.7,7.83,7.57,7.69,236402200
"10",2010-01-15,7.7,7.81,7.61,7.66,181354800
"11",2010-01-18,7.64,7.79,7.47,7.7,221052800
"12",2010-01-19,7.67,7.73,7.48,7.56,179235000
"13",2010-01-20,7.56,7.58,7.18,7.22,210626400
"14",2010-01-21,7.22,7.44,7.12,7.33,171766500
"15",2010-01-22,7.23,7.43,7.12,7.28,169287300
"16",2010-01-25,7.21,7.31,7,7.01,138475700
"17",2010-01-26,7.03,7.08,6.87,6.91,114165000
"18",2010-01-27,6.9,7.06,6.88,6.96,106122100
"19",2010-01-28,6.98,7.06,6.95,7.01,89665400
"20",2010-01-29,6.99,7.11,6.92,7.03,102611900
"21",2010-02-01,6.95,7.02,6.7,6.74,127092700
"22",2010-02-02,6.79,6.84,6.66,6.67,96063000
"23",2010-02-03,6.7,6.81,6.46,6.75,129063200
"24",2010-02-04,6.7,6.7,6.59,6.65,111947300
"25",2010-02-05,6.52,6.55,6.42,6.48,121932800
"26",2010-02-08,6.49,6.5,6.35,6.37,87878300
"27",2010-02-09,6.38,6.44,6.38,6.39,73150500
"28",2010-02-10,6.44,6.49,6.42,6.48,69695300
"29",2010-02-11,6.49,6.58,6.46,6.54,70423500
"30",2010-02-12,6.57,6.67,6.53,6.62,79616700
"31",2010-02-15,6.57,6.67,6.53,6.62,79616700
"32",2010-02-16,6.57,6.67,6.53,6.62,79616700
"33",2010-02-17,6.57,6.67,6.53,6.62,79616700
"34",2010-02-18,6.57,6.67,6.53,6.62,79616700
"35",2010-02-22,6.63,6.65,6.49,6.51,79011200
"36",2010-02-23,6.52,6.53,6.39,6.49,69157900
"37",2010-02-24,6.45,6.61,6.43,6.59,93405300
"38",2010-02-25,6.6,6.67,6.58,6.64,109704600
"39",2010-02-26,6.63,6.77,6.58,6.72,133551800
"40",2010-03-01,6.72,6.82,6.68,6.75,101502700
"41",2010-03-02,6.76,6.79,6.68,6.72,82024900
"42",2010-03-03,6.72,6.76,6.61,6.74,90777800
"43",2010-03-04,6.73,6.79,6.52,6.54,105721600
"44",2010-03-05,6.56,6.59,6.48,6.53,97151500
"45",2010-03-08,6.55,6.56,6.49,6.52,82457400
"46",2010-03-09,6.5,6.56,6.42,6.54,78347200
"47",2010-03-10,6.55,6.6,6.49,6.52,70782900
"48",2010-03-11,6.52,6.58,6.46,6.53,65146700
"49",2010-03-12,6.53,6.54,6.41,6.43,70705700
"50",2010-03-15,6.43,6.45,6.35,6.4,61199400
"51",2010-03-16,6.4,6.43,6.32,6.39,46709400
"52",2010-03-17,6.38,6.52,6.37,6.51,77890800
"53",2010-03-18,6.51,6.55,6.46,6.47,53300200
"54",2010-03-19,6.48,6.5,6.39,6.48,70709400
"55",2010-03-22,6.48,6.51,6.43,6.46,87670500
"56",2010-03-23,6.47,6.49,6.38,6.4,74782200
"57",2010-03-24,6.39,6.43,6.35,6.37,79348700
"58",2010-03-25,6.33,6.34,6.21,6.25,124597700
"59",2010-03-26,6.23,6.27,6.11,6.26,135358300
"60",2010-03-29,6.26,6.4,6.22,6.36,152469100
"61",2010-03-30,6.38,6.38,6.3,6.34,67437300
"62",2010-03-31,6.34,6.34,6.25,6.28,82189500
"63",2010-04-01,6.28,6.34,6.26,6.34,123205900
"64",2010-04-02,6.35,6.35,6.26,6.33,194334900
"65",2010-04-06,6.33,6.34,6.28,6.31,126429900
"66",2010-04-07,6.31,6.31,6.26,6.28,81758600
"67",2010-04-08,6.28,6.28,6.17,6.21,146497800
"68",2010-04-09,6.22,6.28,6.21,6.26,78718800
"69",2010-04-12,6.27,6.28,6.16,6.2,107300000
"70",2010-04-13,6.2,6.29,6.17,6.28,126426700
"71",2010-04-14,6.27,6.29,6.2,6.24,106671900
"72",2010-04-15,6.24,6.24,6.15,6.22,131011000
"73",2010-04-16,6.2,6.2,6.14,6.15,109769800
"74",2010-04-19,6.11,6.11,5.8,5.84,229997300
"75",2010-04-20,5.83,5.88,5.7,5.73,130020700
"76",2010-04-21,5.74,5.86,5.7,5.85,122357600
"77",2010-04-22,5.83,5.86,5.7,5.73,116451400
"78",2010-04-23,5.73,5.76,5.57,5.6,139489000
"79",2010-04-26,5.6,5.85,5.59,5.79,174894200
"80",2010-04-27,5.79,5.98,5.75,5.96,287205400
"81",2010-04-28,5.9,5.95,5.81,5.88,89409500
"82",2010-04-29,5.85,5.91,5.78,5.79,69914100
"83",2010-04-30,5.79,5.92,5.63,5.89,131240600
"84",2010-05-04,5.8,5.95,5.76,5.89,84424500
"85",2010-05-05,5.84,5.92,5.66,5.81,119359800
"86",2010-05-06,5.77,5.77,5.5,5.53,107670800
"87",2010-05-07,5.43,5.5,5.3,5.35,102769500
"88",2010-05-10,5.36,5.52,5.35,5.48,83534300
"89",2010-05-11,5.6,5.6,5.36,5.4,65227500
"90",2010-05-12,5.4,5.4,5.4,5.4,0
"91",2010-05-13,5.43,5.57,5.43,5.56,97299400
"92",2010-05-14,5.52,5.62,5.48,5.54,58769200
"93",2010-05-17,5.48,5.5,5.3,5.31,77308100
"94",2010-05-18,5.3,5.36,5.11,5.28,102418100
"95",2010-05-19,5.24,5.31,5.13,5.19,66857500
"96",2010-05-20,5.15,5.25,5.07,5.08,73368600
"97",2010-05-21,4.96,5.07,4.86,5.04,117695100
"98",2010-05-24,5.01,5.23,5.01,5.19,128209600
"99",2010-05-25,5.13,5.15,5.02,5.03,82942700
"100",2010-05-26,5.03,5.08,5.01,5.05,62826300
"101",2010-05-27,5.04,5.15,4.96,5.12,75209400
"102",2010-05-28,5.15,5.31,5.15,5.27,162300100
"103",2010-05-31,5.22,5.27,5.11,5.12,64001600
"104",2010-06-01,5.1,5.11,5,5.04,55824200
"105",2010-06-02,5.03,5.08,4.96,5.05,43716100
"106",2010-06-03,5.07,5.19,5.03,5.08,78204900
"107",2010-06-04,5.05,5.12,5.04,5.1,34743500
"108",2010-06-07,5,5.07,4.97,5.01,51935600
"109",2010-06-08,5.02,5.06,4.98,5.02,40923400
"110",2010-06-09,5.05,5.14,5,5.13,67881800
"111",2010-06-10,5.09,5.18,5.06,5.12,57189300
"112",2010-06-11,5.13,5.18,5.1,5.13,37280400
"113",2010-06-17,5.15,5.19,5.1,5.1,27488600
"114",2010-06-18,5.11,5.18,5.02,5.04,59647700
"115",2010-06-21,5.05,5.32,5.03,5.29,183293400
"116",2010-06-22,5.25,5.28,5.18,5.22,48714900
"117",2010-06-23,5.2,5.23,5.12,5.17,34789600
"118",2010-06-24,5.19,5.27,5.17,5.21,61383900
"119",2010-06-25,5.18,5.36,5.16,5.32,126446900
"120",2010-06-28,5.3,5.49,5.25,5.42,123489900
"121",2010-06-29,5.43,5.51,5.22,5.25,114584200
"122",2010-06-30,5.22,5.34,5.19,5.33,92488100
"123",2010-07-01,5.33,5.36,5.23,5.24,71974900
"124",2010-07-02,5.24,5.3,5.12,5.24,68538400
"125",2010-07-05,5.2,5.27,5.12,5.26,60862100
"126",2010-07-06,5.23,5.39,5.21,5.33,72587300
"127",2010-07-07,5.31,5.4,5.29,5.35,41997800
"128",2010-07-08,5.37,5.38,5.25,5.27,46355200
"129",2010-07-09,5.28,5.45,5.26,5.4,90691500
"130",2010-07-12,5.41,5.49,5.37,5.44,58638500
"131",2010-07-13,5.4,5.42,5.34,5.41,32536400
"132",2010-07-14,5.41,5.51,5.37,5.39,68895000
"133",2010-07-15,5.39,5.4,5.21,5.22,89069000
"134",2010-07-16,5.18,5.19,5.04,5.15,83801300
"135",2010-07-19,5.1,5.24,5.06,5.21,62472000
"136",2010-07-20,5.23,5.35,5.23,5.3,85337300
"137",2010-07-21,5.29,5.45,5.25,5.42,116900800
"138",2010-07-22,5.37,5.45,5.35,5.41,59773100
"139",2010-07-23,5.4,5.51,5.4,5.45,110386100
"140",2010-07-26,5.45,5.5,5.42,5.48,49171200
"141",2010-07-27,5.48,5.48,5.42,5.43,40363600
"142",2010-07-28,5.43,5.56,5.42,5.53,107035600
"143",2010-07-29,5.52,5.61,5.49,5.51,108842900
"144",2010-07-30,5.5,5.54,5.45,5.49,53777900
"145",2010-08-02,5.49,5.6,5.49,5.57,68957100
"146",2010-08-03,5.58,5.6,5.48,5.48,66017300
"147",2010-08-04,5.48,5.5,5.41,5.48,59131200
"148",2010-08-05,5.49,5.49,5.4,5.43,48756500
"149",2010-08-06,5.42,5.47,5.31,5.47,85469600
"150",2010-08-09,5.45,5.48,5.39,5.43,74728700
"151",2010-08-10,5.43,5.45,5.25,5.26,100101000
"152",2010-08-11,5.2,5.28,5.2,5.24,60087000
"153",2010-08-12,5.21,5.24,5.15,5.17,70485900
"154",2010-08-13,5.17,5.22,5.14,5.21,54014400
"155",2010-08-16,5.2,5.33,5.16,5.32,107064100
"156",2010-08-17,5.31,5.4,5.28,5.33,86287500
"157",2010-08-18,5.34,5.35,5.23,5.28,79795900
"158",2010-08-19,5.28,5.41,5.25,5.35,108585200
"159",2010-08-20,5.32,5.41,5.23,5.25,96853500
"160",2010-08-23,5.25,5.26,5.16,5.19,65863200
"161",2010-08-24,5.19,5.24,5.13,5.18,74952800
"162",2010-08-25,5.16,5.17,5.06,5.07,124995700
"163",2010-08-26,5.08,5.11,5.06,5.07,57182600
"164",2010-08-27,5.08,5.13,5.06,5.11,58543300
"165",2010-08-30,5.12,5.15,5.1,5.14,78432200
"166",2010-08-31,5.12,5.14,5.07,5.1,57943800
"167",2010-09-01,5.1,5.14,5.05,5.07,62261200
"168",2010-09-02,5.1,5.12,5.04,5.07,78718800
"169",2010-09-03,5.08,5.1,5,5.05,77591700
"170",2010-09-06,5.06,5.19,5.05,5.15,141009400
"171",2010-09-07,5.16,5.22,5.14,5.16,75903300
"172",2010-09-08,5.15,5.18,5.1,5.12,69197200
"173",2010-09-09,5.14,5.14,5.04,5.07,63816600
"174",2010-09-10,5.08,5.1,5.04,5.08,41288200
"175",2010-09-13,5.08,5.12,5.01,5.09,97748800
"176",2010-09-14,5.08,5.12,5.04,5.06,77582900
"177",2010-09-15,5.04,5.18,5.02,5.12,125364700
"178",2010-09-16,5.09,5.12,4.97,5.02,115144100
"179",2010-09-17,5,5.02,4.95,4.96,71536400
"180",2010-09-20,4.99,5,4.9,4.93,58418500
"181",2010-09-21,4.95,5.07,4.95,5.04,80799600
"182",2010-09-27,5.05,5.13,5.02,5.05,74117500
"183",2010-09-28,5.05,5.05,5.05,5.05,0
"184",2010-09-29,5.07,5.08,4.97,5.01,86132000
"185",2010-09-30,5,5.11,4.98,5.08,80559000
"186",2010-10-08,5.11,5.21,5.07,5.17,138789300
"187",2010-10-11,5.18,5.31,5.14,5.28,189375000
"188",2010-10-12,5.25,5.34,5.18,5.32,148186700
"189",2010-10-13,5.28,5.31,5.17,5.18,247652200
"190",2010-10-14,5.31,5.43,5.27,5.34,483767300
"191",2010-10-15,5.29,5.58,5.26,5.53,495243900
"192",2010-10-18,5.56,5.69,5.42,5.47,431140000
"193",2010-10-19,5.46,5.64,5.41,5.61,266902800
"194",2010-10-20,5.5,5.57,5.38,5.45,276696600
"195",2010-10-21,5.46,5.55,5.35,5.39,160460400
"196",2010-10-22,5.38,5.44,5.29,5.32,196492700
"197",2010-10-25,5.34,5.4,5.29,5.38,203158000
"198",2010-10-26,5.38,5.41,5.32,5.34,184155300
"199",2010-10-27,5.34,5.38,5.28,5.3,128742300
"200",2010-10-28,5.3,5.33,5.24,5.28,129007500
"201",2010-10-29,5.3,5.45,5.24,5.4,210574800
"202",2010-11-01,5.38,5.4,5.31,5.36,200946100
"203",2010-11-02,5.35,5.35,5.25,5.25,201626400
"204",2010-11-03,5.27,5.37,5.25,5.29,163401500
"205",2010-11-04,5.29,5.37,5.29,5.33,128934900
"206",2010-11-05,5.37,5.4,5.31,5.4,216170000
"207",2010-11-08,5.44,5.55,5.39,5.51,258013300
"208",2010-11-09,5.53,5.54,5.39,5.42,159190700
"209",2010-11-10,5.4,5.4,5.28,5.32,164065300
"210",2010-11-11,5.3,5.59,5.29,5.41,240170300
"211",2010-11-12,5.35,5.53,5.26,5.28,398792000
"212",2010-11-15,5.28,5.33,5.1,5.24,183135900
"213",2010-11-16,5.25,5.28,5.11,5.12,141522200
"214",2010-11-17,5.08,5.12,5.02,5.04,128374900
"215",2010-11-18,5.05,5.09,5.01,5.02,128400600
"216",2010-11-19,5.05,5.06,4.96,5.05,108084300
"217",2010-11-22,5.04,5.25,5.01,5.16,159320200
"218",2010-11-23,5.16,5.16,5,5.05,120353400
"219",2010-11-24,5.01,5.13,5.01,5.08,77708800
"220",2010-11-25,5.1,5.22,5.06,5.2,145370300
"221",2010-11-26,5.19,5.21,5.12,5.15,75973600
"222",2010-11-29,5.15,5.18,5.07,5.15,69402900
"223",2010-11-30,5.15,5.18,5.02,5.08,110473700
"224",2010-12-01,5.07,5.1,5.05,5.08,52849300
"225",2010-12-02,5.11,5.13,5.07,5.08,61180400
"226",2010-12-03,5.09,5.09,5.03,5.06,50545400
"227",2010-12-06,5.07,5.15,5.04,5.08,65874100
"228",2010-12-07,5.07,5.09,5.02,5.07,57950600
"229",2010-12-08,5.07,5.09,5.03,5.04,57690500
"230",2010-12-09,5.05,5.07,5.02,5.03,61378400
"231",2010-12-10,5.05,5.24,5.05,5.2,205872000
"232",2010-12-13,5.2,5.72,5.18,5.72,539924400
"233",2010-12-14,5.91,6.08,5.8,5.9,650235100
"234",2010-12-15,5.85,6.02,5.74,5.82,288011200
"235",2010-12-16,5.79,5.9,5.76,5.8,184133600
"236",2010-12-17,5.8,5.82,5.65,5.74,166124800
"237",2010-12-20,5.77,5.84,5.53,5.75,207709200
"238",2010-12-21,5.71,5.79,5.6,5.73,135511000
"239",2010-12-22,5.71,5.87,5.66,5.69,145696500
"240",2010-12-23,5.68,5.81,5.65,5.68,105292400
"241",2010-12-24,5.66,5.78,5.6,5.72,103247200
"242",2010-12-27,5.72,5.8,5.3,5.41,257370000
"243",2010-12-28,5.35,5.46,5.32,5.35,111434000
"244",2010-12-29,5.35,5.43,5.32,5.36,95232500
"245",2010-12-30,5.37,5.39,5.22,5.24,101656400
"246",2010-12-31,5.25,5.42,5.24,5.35,91400900
"247",2011-01-04,5.47,5.47,5.26,5.36,144218100
"248",2011-01-05,5.35,5.46,5.3,5.44,124141900
"249",2011-01-06,5.45,5.46,5.3,5.34,79054700
"250",2011-01-07,5.33,5.47,5.31,5.42,101441300
"251",2011-01-10,5.42,5.53,5.35,5.39,114311100
"252",2011-01-11,5.37,5.52,5.37,5.51,112435000
"253",2011-01-12,5.5,5.62,5.4,5.51,143296600
"254",2011-01-13,5.49,5.73,5.46,5.58,132948500
"255",2011-01-14,5.57,5.69,5.54,5.56,94263200
"256",2011-01-17,5.53,5.7,5.35,5.48,162395400
"257",2011-01-18,5.46,5.5,5.38,5.41,101310400
"258",2011-01-19,5.41,5.52,5.35,5.51,63544300
"259",2011-01-20,5.52,5.59,5.46,5.48,88495600
"260",2011-01-21,5.47,5.76,5.47,5.69,150946300
"261",2011-01-24,5.72,6.02,5.68,5.78,242640800
"262",2011-01-25,5.77,5.9,5.65,5.71,106934000
"263",2011-01-26,5.71,5.82,5.63,5.81,94051500
"264",2011-01-27,5.77,6.06,5.72,5.98,267587700
"265",2011-01-28,5.98,6.21,5.91,6.11,205864600
"266",2011-01-31,6.08,6.11,5.94,6.1,159369500
"267",2011-02-01,6.11,6.22,6.02,6.07,105679800
"268",2011-02-09,6.06,6.37,6.06,6.21,186140300
"269",2011-02-10,6.17,6.24,6.12,6.22,116873100
"270",2011-02-11,6.22,6.25,6.05,6.08,134724100
"271",2011-02-14,6.1,6.2,5.99,6.17,237005600
"272",2011-02-15,6.19,6.2,6.05,6.11,182240300
"273",2011-02-16,6.08,6.12,5.92,5.99,213337400
"274",2011-02-17,6,6.05,5.94,6.01,130495000
"275",2011-02-18,5.98,6.1,5.96,6.06,114819300
"276",2011-02-21,6.05,6.1,5.95,6.04,182526500
"277",2011-02-22,6.06,6.07,5.82,5.83,143646300
"278",2011-02-23,5.8,5.9,5.78,5.83,79155900
"279",2011-02-24,5.82,5.87,5.75,5.83,81299500
"280",2011-02-25,5.86,5.87,5.71,5.82,96617900
"281",2011-02-28,5.81,5.92,5.75,5.88,105171600
"282",2011-03-01,5.87,5.89,5.8,5.86,117387500
"283",2011-03-02,5.84,5.92,5.81,5.89,120721600
"284",2011-03-03,5.88,6.04,5.87,5.98,175089900
"285",2011-03-04,5.99,6.06,5.96,5.99,147756300
"286",2011-03-07,6,6.07,5.98,6.03,120661900
"287",2011-03-08,6.04,6.12,6.01,6.04,97679900
"288",2011-03-09,6.05,6.09,6,6.02,73497500
"289",2011-03-10,6.01,6.03,5.82,5.83,112030600
"290",2011-03-11,5.81,5.93,5.81,5.83,95595200
"291",2011-03-14,5.84,6.02,5.83,5.94,128701800
"292",2011-03-15,5.94,5.99,5.78,5.84,103398100
"293",2011-03-16,5.84,5.98,5.84,5.89,109714600
"294",2011-03-17,5.88,5.89,5.75,5.78,73707600
"295",2011-03-18,5.82,5.86,5.73,5.74,74516200
"296",2011-03-21,5.74,5.8,5.66,5.67,89672300
"297",2011-03-22,5.71,5.83,5.69,5.74,95698000
"298",2011-03-23,5.74,5.82,5.73,5.78,64523000
"299",2011-03-24,5.78,5.81,5.7,5.74,88032800
"300",2011-03-25,5.75,5.77,5.7,5.74,121152600
"301",2011-03-28,5.74,5.79,5.71,5.75,99481600
"302",2011-03-29,5.75,5.75,5.61,5.64,123685800
"303",2011-03-30,5.6,5.75,5.59,5.69,92546600
"304",2011-03-31,5.69,5.76,5.63,5.69,65972300
"305",2011-04-01,5.69,5.7,5.63,5.69,70548600
"306",2011-04-06,5.7,5.74,5.66,5.73,108556200
"307",2011-04-07,5.73,5.76,5.69,5.76,72277900
"308",2011-04-08,5.75,6.03,5.73,5.99,274967400
"309",2011-04-11,6,6.06,5.92,5.99,150922900
"310",2011-04-12,5.99,6.05,5.89,5.93,102550700
"311",2011-04-13,5.91,5.96,5.86,5.94,76694600
"312",2011-04-14,5.94,5.96,5.87,5.9,59543600
"313",2011-04-15,5.88,6.01,5.88,5.96,82308400
"314",2011-04-18,5.96,6.02,5.9,5.92,81992400
"315",2011-04-19,5.88,5.94,5.82,5.83,78124100
"316",2011-04-20,5.89,5.99,5.85,5.96,112873800
"317",2011-04-21,6.01,6.19,5.98,6.05,198142900
"318",2011-04-22,6.05,6.11,5.97,5.99,85525100
"319",2011-04-25,6,6.15,5.98,6.01,128207200
"320",2011-04-26,6.02,6.07,5.7,5.79,142778800
"321",2011-04-27,5.76,5.86,5.73,5.78,75882600
"322",2011-04-28,5.82,5.91,5.77,5.78,82003600
"323",2011-04-29,5.8,5.87,5.77,5.84,43254800
"324",2011-05-03,5.83,5.9,5.78,5.85,40583500
"325",2011-05-04,5.81,5.86,5.61,5.66,110760200
"326",2011-05-05,5.66,5.73,5.59,5.7,44556000
"327",2011-05-06,5.62,5.72,5.62,5.67,55790400
"328",2011-05-09,5.68,5.72,5.64,5.65,27809500
"329",2011-05-10,5.66,5.78,5.64,5.78,54438600
"330",2011-05-11,5.77,5.84,5.71,5.78,48140900
"331",2011-05-12,5.74,5.76,5.65,5.66,46898000
"332",2011-05-13,5.7,5.7,5.55,5.6,76067700
"333",2011-05-16,5.6,5.62,5.52,5.54,52977100
"334",2011-05-17,5.55,5.6,5.53,5.57,26660700
"335",2011-05-18,5.59,5.63,5.51,5.56,47328500
"336",2011-05-19,5.56,5.64,5.54,5.6,51242000
"337",2011-05-20,5.6,5.72,5.58,5.7,73385000
"338",2011-05-23,5.73,5.76,5.55,5.55,59145200
"339",2011-05-25,5.58,5.61,5.48,5.48,60994500
"340",2011-05-26,5.51,5.54,5.45,5.46,33890700
"341",2011-05-27,5.47,5.66,5.46,5.58,79671100
"342",2011-05-30,5.58,5.69,5.58,5.67,69757800
"343",2011-05-31,5.69,5.74,5.65,5.71,47315500
"344",2011-06-01,5.68,5.7,5.61,5.63,30211500
"345",2011-06-02,5.6,5.66,5.53,5.59,78857500
"346",2011-06-03,5.56,5.64,5.56,5.58,28146700
"347",2011-06-07,5.58,5.66,5.54,5.65,39982400
"348",2011-06-08,5.64,5.67,5.57,5.66,32114800
"349",2011-06-09,5.63,5.68,5.52,5.54,46434000
"350",2011-06-10,5.57,5.6,5.52,5.56,29654700
"351",2011-06-13,5.54,5.68,5.5,5.65,88533800
"352",2011-06-14,5.63,5.72,5.62,5.68,48764700
"353",2011-06-15,5.69,5.85,5.65,5.7,60423100
"354",2011-06-16,5.67,5.72,5.52,5.54,81810000
"355",2011-06-17,5.56,5.6,5.43,5.44,66428300
"356",2011-06-20,5.46,5.48,5.11,5.15,115764800
"357",2011-06-21,5.21,5.21,5.02,5.13,100361000
"358",2011-06-22,5.15,5.18,5.04,5.07,85815600
"359",2011-06-23,5.06,5.16,5.03,5.12,48427100
"360",2011-06-24,5.12,5.27,5.1,5.21,102142700
"361",2011-06-27,5.22,5.27,5.19,5.23,75172300
"362",2011-06-28,5.24,5.31,5.16,5.29,93673100
