"","Date","Open","High","Low","Close","Volume"
"1",2014-01-02,1845.859985,1845.859985,1827.73999,1831.97998,3080600000
"2",2014-01-03,1833.209961,1838.23999,1829.130005,1831.369995,2774270000
"3",2014-01-06,1832.310059,1837.160034,1823.72998,1826.77002,3294850000
"4",2014-01-07,1828.709961,1840.099976,1828.709961,1837.880005,3511750000
"5",2014-01-08,1837.900024,1840.02002,1831.400024,1837.48999,3652140000
"6",2014-01-09,1839,1843.22998,1830.380005,1838.130005,3581150000
"7",2014-01-10,1840.060059,1843.150024,1832.430054,1842.369995,3335710000
"8",2014-01-13,1841.26001,1843.449951,1815.52002,1819.199951,3591350000
"9",2014-01-14,1821.359985,1839.26001,1821.359985,1838.880005,3353270000
"10",2014-01-15,1840.52002,1850.839966,1840.52002,1848.380005,3777800000
"11",2014-01-16,1847.98999,1847.98999,1840.300049,1845.890015,3491310000
"12",2014-01-17,1844.22998,1846.040039,1835.22998,1838.699951,3626120000
"13",2014-01-21,1841.050049,1849.310059,1832.380005,1843.800049,3782470000
"14",2014-01-22,1844.709961,1846.869995,1840.880005,1844.859985,3374170000
"15",2014-01-23,1842.290039,1842.290039,1820.060059,1828.459961,3972250000
"16",2014-01-24,1826.959961,1826.959961,1790.290039,1790.290039,4618450000
"17",2014-01-27,1791.030029,1795.97998,1772.880005,1781.560059,4045200000
"18",2014-01-28,1783,1793.869995,1779.48999,1792.5,3437830000
"19",2014-01-29,1790.150024,1790.150024,1770.449951,1774.199951,3964020000
"20",2014-01-30,1777.170044,1798.77002,1777.170044,1794.189941,3547510000
"21",2014-01-31,1790.880005,1793.880005,1772.26001,1782.589966,4059690000
"22",2014-02-03,1782.680054,1784.829956,1739.660034,1741.890015,4726040000
"23",2014-02-04,1743.819946,1758.72998,1743.819946,1755.199951,4068410000
"24",2014-02-05,1753.380005,1755.790039,1737.920044,1751.640015,3984290000
"25",2014-02-06,1752.98999,1774.060059,1752.98999,1773.430054,3825410000
"26",2014-02-07,1776.01001,1798.030029,1776.01001,1797.02002,3775990000
"27",2014-02-10,1796.199951,1799.939941,1791.829956,1799.839966,3312160000
"28",2014-02-11,1800.449951,1823.540039,1800.410034,1819.75,3699380000
"29",2014-02-12,1820.119995,1826.550049,1815.969971,1819.26001,3326380000
"30",2014-02-13,1814.819946,1830.25,1809.219971,1829.829956,3289510000
"31",2014-02-14,1828.459961,1841.650024,1825.589966,1838.630005,3114750000
"32",2014-02-18,1839.030029,1842.869995,1835.01001,1840.76001,3421110000
"33",2014-02-19,1838.900024,1847.5,1826.98999,1828.75,3661570000
"34",2014-02-20,1829.23999,1842.790039,1824.579956,1839.780029,3404980000
"35",2014-02-21,1841.069946,1846.130005,1835.599976,1836.25,3403880000
"36",2014-02-24,1836.780029,1858.709961,1836.780029,1847.609985,4014530000
"37",2014-02-25,1847.660034,1852.910034,1840.189941,1845.119995,3515560000
"38",2014-02-26,1845.790039,1852.650024,1840.660034,1845.160034,3716730000
"39",2014-02-27,1844.900024,1854.530029,1841.130005,1854.290039,3547460000
"40",2014-02-28,1855.119995,1867.920044,1847.670044,1859.449951,3917450000
"41",2014-03-03,1857.680054,1857.680054,1834.439941,1845.72998,3428220000
