"","Date","Open","High","Low","Close","Volume"
"1",2014-01-02,10.42,10.42,10.2,10.27,54734700
"2",2014-01-03,10.21,10.22,9.86,9.88,88544000
"3",2014-01-06,9.88,9.97,9.71,9.8,67493100
"4",2014-01-07,9.69,9.83,9.6,9.61,52957200
"5",2014-01-08,9.67,9.91,9.65,9.77,55127700
"6",2014-01-09,9.73,9.86,9.44,9.5,55607300
"7",2014-01-10,9.5,9.55,9.24,9.28,44695000
"8",2014-01-13,9.27,9.36,9.19,9.34,37213400
"9",2014-01-14,9.3,9.49,9.27,9.43,39850200
"10",2014-01-15,9.39,9.42,9.22,9.37,37878400
"11",2014-01-16,9.35,9.5,9.28,9.39,49597000
"12",2014-01-17,9.33,9.42,9.19,9.26,41183500
"13",2014-01-20,9.26,9.42,9.21,9.28,31018500
"14",2014-01-21,9.33,9.55,9.32,9.48,41906700
"15",2014-01-22,9.5,9.73,9.44,9.68,65047700
"16",2014-01-23,9.66,9.72,9.57,9.59,49027700
"17",2014-01-24,9.6,9.85,9.55,9.77,62119300
"18",2014-01-27,9.65,9.72,9.48,9.49,45045900
"19",2014-01-28,9.57,9.64,9.45,9.51,29126800
"20",2014-01-29,9.55,9.64,9.53,9.58,35304300
"21",2014-01-30,9.55,9.58,9.3,9.32,36070500
"22",2014-01-31,9.32,9.32,9.32,9.32,0
"23",2014-02-03,9.32,9.32,9.32,9.32,0
"24",2014-02-05,9.32,9.32,9.32,9.32,0
"25",2014-02-06,9.32,9.32,9.32,9.32,0
"26",2014-02-07,9.25,9.48,9.21,9.44,39856400
"27",2014-02-10,9.45,9.75,9.44,9.7,62598000
"28",2014-02-11,9.69,9.93,9.63,9.73,62767800
"29",2014-02-12,9.83,9.9,9.7,9.77,54561000
"30",2014-02-13,9.77,9.86,9.68,9.7,62510000
"31",2014-02-14,9.68,9.77,9.64,9.77,34375800
"32",2014-02-17,9.83,9.85,9.76,9.8,57905700
"33",2014-02-18,9.78,9.78,9.38,9.39,111613300
"34",2014-02-19,9.38,9.52,9.27,9.45,70988200
"35",2014-02-20,9.41,9.52,9.2,9.2,56205400
"36",2014-02-21,9.15,9.17,8.76,8.83,100466800
"37",2014-02-24,8.75,8.78,8.58,8.78,54062200
"38",2014-02-25,8.81,8.86,8.46,8.49,51075700
"39",2014-02-26,8.47,8.56,8.36,8.5,38612300
"40",2014-02-27,8.55,8.63,8.49,8.5,42465000
"41",2014-02-28,8.51,8.96,8.45,8.89,64998900
"42",2014-03-03,8.8,8.87,8.68,8.82,44518400
"43",2014-03-04,8.86,8.9,8.68,8.75,37312600
"44",2014-03-05,8.78,8.81,8.56,8.58,32930400
"45",2014-03-06,8.55,8.73,8.41,8.68,39150400
"46",2014-03-07,8.61,8.74,8.52,8.55,23975700
"47",2014-03-10,8.44,8.47,8.17,8.18,38016700
"48",2014-03-11,8.15,8.28,8.09,8.17,25646000
"49",2014-03-12,8.15,8.28,8.07,8.19,35908900
"50",2014-03-13,8.23,8.44,8.2,8.29,29916000
"51",2014-03-14,8.25,8.35,8.16,8.2,25285800
"52",2014-03-17,8.22,8.3,8.16,8.3,20651900
"53",2014-03-18,8.3,8.37,8.26,8.3,20848900
"54",2014-03-19,8.26,8.28,8.16,8.22,18934600
"55",2014-03-20,8.21,8.31,8.08,8.08,25519400
"56",2014-03-21,8.04,8.44,8.02,8.41,53243100
"57",2014-03-24,8.39,8.64,8.31,8.51,64614800
"58",2014-03-25,8.48,8.6,8.44,8.47,42394500
"59",2014-03-26,8.6,8.63,8.36,8.37,38028700
"60",2014-03-27,8.38,8.47,8.24,8.26,39122900
"61",2014-03-28,8.23,8.34,8.13,8.17,37849500
"62",2014-03-31,8.2,8.28,8.15,8.19,23313400
"63",2014-04-01,8.18,8.33,8.16,8.29,23130700
"64",2014-04-02,8.31,8.37,8.28,8.32,22952800
"65",2014-04-03,8.36,8.52,8.32,8.36,40600700
"66",2014-04-04,8.33,8.48,8.32,8.48,26529400
"67",2014-04-07,8.48,8.48,8.48,8.48,0
"68",2014-04-08,8.43,8.72,8.42,8.66,65512700
"69",2014-04-09,8.67,8.68,8.55,8.61,32178500
"70",2014-04-10,8.62,8.98,8.57,8.86,99236800
"71",2014-04-11,8.8,8.92,8.74,8.75,51056000
"72",2014-04-14,8.75,8.8,8.65,8.72,29584700
"73",2014-04-15,8.69,8.69,8.52,8.53,33120100
"74",2014-04-16,8.5,8.74,8.5,8.58,28463500
"75",2014-04-17,8.65,8.74,8.56,8.74,24748300
"76",2014-04-18,8.74,8.74,8.74,8.74,0
"77",2014-04-21,9.48,9.48,9.03,9.12,194775800
"78",2014-04-22,9.18,9.64,9.15,9.62,199524000
"79",2014-04-23,9.51,9.65,9.35,9.46,103590500
"80",2014-04-24,9.46,9.46,9.46,9.46,0
"81",2014-04-25,9.38,9.58,9.28,9.31,108597300
"82",2014-04-28,9.3,9.44,9.21,9.32,72904700
"83",2014-04-29,9.28,9.54,9.23,9.52,77906000
"84",2014-04-30,9.45,9.46,9.34,9.38,61537200
"85",2014-05-01,9.38,9.38,9.38,9.38,0
"86",2014-05-02,9.38,9.38,9.38,9.38,0
"87",2014-05-05,9.35,9.59,9.31,9.58,73990100
"88",2014-05-06,9.51,9.6,9.41,9.45,67380600
"89",2014-05-07,9.41,9.58,9.37,9.46,65359200
"90",2014-05-08,9.43,9.75,9.4,9.5,103010500
"91",2014-05-09,9.49,9.73,9.39,9.69,96410500
"92",2014-05-12,9.9,10.07,9.68,9.93,149809400
"93",2014-05-13,9.83,9.99,9.79,9.85,77313600
"94",2014-05-14,9.89,10.01,9.87,9.89,66300900
"95",2014-05-15,9.89,9.97,9.56,9.57,89284000
"96",2014-05-16,9.63,9.67,9.45,9.54,58582700
"97",2014-05-19,9.47,9.48,9.28,9.33,49762300
"98",2014-05-20,9.44,9.49,9.33,9.34,44118700
"99",2014-05-21,9.3,9.44,9.21,9.41,66209100
"100",2014-05-22,9.38,9.55,9.32,9.33,59738800
"101",2014-05-23,9.33,9.43,9.29,9.42,38856500
"102",2014-05-26,9.44,9.49,9.39,9.48,38499500
"103",2014-05-27,9.44,9.54,9.41,9.42,37749600
"104",2014-05-28,9.38,9.67,9.37,9.59,73075900
"105",2014-05-29,9.56,9.58,9.33,9.33,59824700
"106",2014-05-30,9.34,9.52,9.33,9.44,51241100
"107",2014-06-02,9.44,9.44,9.44,9.44,0
"108",2014-06-03,9.44,9.52,9.34,9.35,37202500
"109",2014-06-04,9.36,9.37,9.24,9.26,45490600
"110",2014-06-05,9.24,9.39,9.24,9.37,31731900
"111",2014-06-06,9.35,9.37,9.2,9.29,32478900
"112",2014-06-09,9.25,9.37,9.21,9.25,28169400
"113",2014-06-10,9.28,9.6,9.28,9.56,87784200
"114",2014-06-11,9.48,9.53,9.41,9.5,46396800
"115",2014-06-12,9.45,9.54,9.45,9.48,32176800
"116",2014-06-13,9.47,9.76,9.47,9.65,84802600
"117",2014-06-16,9.63,9.76,9.63,9.71,59855300
"118",2014-06-17,9.68,9.68,9.51,9.54,52771900
"119",2014-06-18,9.54,9.59,9.47,9.51,36908100
"120",2014-06-19,9.51,9.55,9.18,9.24,59833900
"121",2014-06-20,9.23,9.3,9.21,9.29,32861100
"122",2014-06-23,9.32,9.39,9.29,9.31,29221600
"123",2014-06-24,9.34,9.36,9.28,9.35,25833900
"124",2014-06-25,9.33,9.35,9.26,9.33,22074900
"125",2014-06-26,9.36,9.57,9.34,9.51,55763300
"126",2014-06-27,9.48,9.65,9.46,9.61,58208200
"127",2014-06-30,9.61,9.67,9.57,9.6,56185600
"128",2014-07-01,9.69,9.71,9.56,9.61,59157700
"129",2014-07-02,9.57,9.76,9.56,9.76,66571600
"130",2014-07-03,9.73,9.8,9.69,9.73,54628900
"131",2014-07-04,9.74,9.84,9.66,9.71,57011900
"132",2014-07-07,4.86,4.88,4.835,4.855,42104400
"133",2014-07-08,4.85,4.86,4.775,4.825,68413500
"134",2014-07-09,4.72,4.73,4.59,4.59,63252200
"135",2014-07-10,4.59,4.6,4.5,4.52,55640400
"136",2014-07-11,4.51,4.57,4.51,4.55,33468500
"137",2014-07-14,4.55,4.61,4.52,4.6,48479100
"138",2014-07-15,4.58,4.6,4.53,4.56,45864800
"139",2014-07-16,4.55,4.59,4.53,4.55,33376100
"140",2014-07-17,4.55,4.55,4.5,4.53,29009400
"141",2014-07-18,4.51,4.63,4.51,4.56,48695000
"142",2014-07-21,4.55,4.56,4.49,4.49,33345600
"143",2014-07-22,4.49,4.57,4.48,4.55,47393700
"144",2014-07-23,4.56,4.63,4.53,4.57,59063000
"145",2014-07-24,4.58,5.03,4.58,5.03,354497700
"146",2014-07-25,5.12,5.38,5,5.38,410195800
"147",2014-07-28,5.45,5.92,5.39,5.9,461916200
"148",2014-07-29,5.88,6.1,5.8,6.1,467984600
"149",2014-07-30,6.1,6.16,5.96,6.02,329477900
"150",2014-07-31,5.99,6.19,5.94,6.18,314544900
"151",2014-08-01,6.1,6.17,5.93,5.98,268546900
"152",2014-08-04,6.05,6.15,5.98,6.1,243561500
"153",2014-08-05,6.1,6.28,6.02,6.27,267445300
"154",2014-08-06,6.16,6.38,6.08,6.33,263592500
"155",2014-08-07,6.28,6.33,6,6.02,274362100
"156",2014-08-08,6.05,6.08,5.85,5.91,227152100
"157",2014-08-11,5.93,6.11,5.91,6.06,194414700
"158",2014-08-12,6.02,6.12,5.94,6.07,164200700
"159",2014-08-13,6.07,6.17,5.97,6.07,201843300
"160",2014-08-14,6.02,6.09,5.91,5.93,158005500
"161",2014-08-15,5.93,6.12,5.91,6.07,195932800
"162",2014-08-18,6.1,6.17,6.03,6.07,157441300
"163",2014-08-19,6.06,6.07,5.94,5.99,150160400
"164",2014-08-20,5.99,6.11,5.96,6.11,205066100
"165",2014-08-21,6.15,6.16,5.93,5.99,154421900
"166",2014-08-22,5.96,6.05,5.95,5.99,87393200
"167",2014-08-25,6.01,6.04,5.8,5.8,142912200
"168",2014-08-26,5.78,5.81,5.61,5.69,109614700
"169",2014-08-27,5.68,5.78,5.65,5.68,72043400
"170",2014-08-28,5.69,5.74,5.62,5.65,55700200
