STATE,REGION,POPULATI,URBAN,MOBILITY,LT18,GT65,DENSITY,PCTWHITE,PCTBLACK,PCTNAM,PCTASIAN,PCTHISP,IMMIG,MARRIAGE,DIVORCES,FEMHEAD,BRATE,LOWBWT,PRISONER,HOMELESS,DRATE,SUICIDES,TEENMOM,INFMORT,BEER,AIDS,ABORTION,DOCTORS,POVERTY,MDFAMINC,UNEMPLY,DROPOUT,HSGRAD,COLLGRAD,HOMICIDE,RAPE,ROBBERY,ASSAULT,BURGLARY,LARCENY,CARTHEFT,BUSH00,GORE00,NADER00,TURNOUT
ALABAMA       ,South,4.449996948,55.79992676,74.09985352,25.26190186,13.03765869,87.59985352,71.09985352,26,0.5,0.699998856,1.699996948,4.299987793,10.8999939,5.899993896,14.14611816,14.3999939,9.699981689,0.75,0.029999971,10.09399414,13.09997559,15.69998169,9.799987793,29.19995117,8.299987793,15.55752563,200.5839844,14.69998169,40695,4.599990845,22.89996338,77.5,20.39996338,7.399993896,33.29992676,128.199707,317.1992188,906.8984375,2864.796875,288,56.5,41.59997559,1.099998474,60.39990234
ALASKA        ,West,0.629999161,56.29992676,37.59997559,30.4206543,5.694229126,1.099998474,69.29980469,3.5,15.59997559,4,4.099990845,21.89996338,8.699981689,4.299987793,12.55447388,16,5.599990845,0.529998779,0.089999914,4.167999268,21,11.79998779,5.699996948,34.89990234,NA,14.57861328,179.0942383,8.399993896,60124,6.599990845,10.29998779,90.39990234,28.09997559,4.299987793,79.29980469,78.19995117,405.0996094,621.8984375,2685.796875,374.7998047,58.59997559,27.69995117,10.09997559,67.69995117
ARIZONA       ,West,5.129989624,79.69995117,33.89990234,26.64282227,13.01669312,45.09997559,75.5,3.099998474,5,1.799999237,25.29998779,23.29998779,8.599975586,4.799987793,11.52261353,17.5,7,0.88999939,0.049999952,8.209991455,17.19995117,14.29998779,6.799987793,38.89990234,7.5,19.75689697,194.7617188,13.5,45862,3.899993896,17.79998779,85.09985352,24.59997559,7,30.69995117,146.2998047,347.6992188,1011.599609,3444.09375,842.0996094,51,44.69995117,3,52.5
ARKANSAS      ,South,2.669998169,50.29992676,61.39990234,25.44952393,13.99038696,51.29992676,80,15.69998169,0.699998856,0.799999237,3.199996948,6,15.3999939,6.099990845,13.53115845,14.69998169,8.599975586,0.76999855,0.029999971,10.8449707,13.59997559,17.29998779,8,28.5,5,11.4395752,187.7124023,15.79998779,39421,4.399993896,20.5,81.69995117,18.39996338,6.299987793,31.69995117,74.79980469,332.3994141,802.0996094,2608.695313,259.2998047,51.29992676,45.89990234,1.5,50.5
CALIFORNIA    ,West,33.86999512,91.79980469,50.59997559,27.30841064,10.61550903,217.199707,59.5,6.699996948,1,10.8999939,32.39990234,64.29980469,6.5,NA,13.04693604,15.79998779,6.199996948,0.729999542,0.079999924,6.899993896,10.5,10.59997559,5.399993896,28.59997559,13.19998169,32.97619629,248.1171875,14,53099,4.899993896,21.69995117,81.19995117,27.5,6.099990845,28.89996338,177.8999023,408.6992188,656.2988281,1924.5,537.3984375,41.69995117,53.5,3.799995422,57.89990234
COLORADO      ,West,4.299987793,77.09985352,41.19995117,25.59234619,9.673278809,41.5,82.79980469,3.799995422,1,2.199996948,17.09997559,19.09997559,8.599975586,NA,9.259277344,15.79998779,8.399993896,0.699998856,0.049999952,6.722991943,15.3999939,11.69998169,6.699996948,34.39990234,6.399993896,20.86352539,233.519043,8.5,55756,2.699996948,11.29998779,89.69995117,34.59997559,3.099998474,41.19995117,70.5,219.0996094,630.7988281,2623.5,394.2998047,50.79992676,42.39990234,5.299987793,57.19995117
CONNECTICUT   ,Northeast,3.409996033,79.39990234,57,24.71502686,13.80630493,702.8984375,81.59985352,9.099975586,0.299999237,2.399993896,9.399993896,33.29992676,6,1.699996948,12.65002441,13,7.399993896,0.589998245,0.069999933,9.081970215,7.799987793,7.799987793,6.099990845,24.09997559,12,22.52587891,351.1347656,7.699996948,64369,2.299995422,14,88.19995117,31.59997559,2.899993896,19.89996338,112.5,189.3999023,512,2011.398438,384.5996094,38.39990234,55.89990234,4.399993896,59.5
DELAWARE      ,Northeast,0.779998779,71.39990234,50,24.83239746,12.98187256,400.7998047,74.59985352,19.19995117,0.299999237,2.099998474,4.799987793,20,6.899993896,4.799987793,13.89324951,14.5,8.599975586,0.759998322,0.109999895,8.857971191,9.099975586,12.29998779,7.399993896,35,18.29998779,24.07678223,234.9169922,9.899993896,55129,4,13.8999939,86.09985352,24,3.199996948,54.09997559,177.8999023,449.1992188,665.5996094,2725.898438,402.0996094,41.89990234,55,2.5,64.79980469
FLORIDA       ,South,15.97998047,84.69995117,32.69995117,22.81469727,17.56677246,296.2998047,78,14.59997559,0.299999237,1.699996948,16.79998779,61.59997559,9.099975586,5.399993896,12.73233032,13.29998779,8,0.869998932,0.039999962,10.60797119,14.59997559,12.59997559,7.399993896,34.59997559,21.5,32.04772949,234.4223633,12,44562,3.599998474,17.59997559,84,22.79998779,5.599990845,44.19995117,199,563.1992188,1081.796875,3242.898438,558,48.89990234,48.79992676,1.599998474,59.59997559
GEORGIA       ,South,8.189971924,69,59.29992676,26.49780273,9.592346191,141.2998047,65.09985352,28.69995117,0.299999237,2.099998474,5.299987793,18.09997559,8,4.399993896,15.45950317,16.69995117,8.599975586,1,0.059999943,7.914993286,10.79998779,13.8999939,8.199981689,31.29998779,17.29998779,21.09832764,205.9580078,12.5,46704,3.699996948,21.19995117,82.59985352,23.09997559,8,24,161.8999023,310.8994141,836.5996094,2937,472.7998047,54.69995117,43,0.5,50.89990234
HAWAII        ,West,1.209999084,70.29980469,56.59997559,24.41253662,13.25595093,188.5996094,24.29998779,1.799999237,0.299999237,41.59997559,7.199996948,50,19.29998779,3.699996948,12.09338379,14.8999939,7.5,0.269999504,0.059999943,6.785995483,9.699981689,10.29998779,7,35.19995117,6.099990845,27.30828857,265.2021484,10.59997559,58159,4.299987793,12.3999939,87.39990234,26.29998779,2.899993896,28.59997559,92.69995117,119.6999512,880.2988281,3570.195313,504.5996094,37.5,55.79992676,5.899993896,44.09997559
IDAHO         ,West,1.289997101,53.59997559,49.79992676,28.51953125,11.2767334,15.59997559,91,0.399999619,1.399997711,0.899999619,7.899993896,14.8999939,12.29998779,5.399993896,9.082397461,16,6.699996948,0.569999695,0.049999952,7.460998535,16.39996338,11.59997559,6.699996948,30.59997559,1.799999237,6.122192383,154.2416992,13.29998779,43584,4.899993896,12,86.19995117,20,1.199996948,29.69995117,17.19995117,204.2998047,566.5,2206,161.199707,67.19995117,27.59997559,2.5,56.09997559
